periode_data,wilayah,kecamatan,volume_sampah,total_sampah_residu,rata_rata
202401,KOTA ADM. JAKARTA PUSAT,Kemayoran,999.04,997,32.16
202401,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,363.91,363,11.71
202401,KOTA ADM. JAKARTA PUSAT,Johar Baru,715.29,714,23.03
202401,KOTA ADM. JAKARTA PUSAT,Senen,500.13,498,16.06
202401,KOTA ADM. JAKARTA PUSAT,Sawah Besar,693.33,692,22.32
202401,KOTA ADM. JAKARTA PUSAT,Menteng,841.22,837,27
202401,KOTA ADM. JAKARTA PUSAT,Gambir,684.86,682,22
202401,KOTA ADM. JAKARTA UTARA,Cilincing,933.6,727,23.45
202401,KOTA ADM. JAKARTA UTARA,Kelapa Gading,729.01,719.5,23.21
202401,KOTA ADM. JAKARTA UTARA,Koja,758.65,726,23.42
202401,KOTA ADM. JAKARTA UTARA,Tanjung Priok,1972.28,1377,44.42
202401,KOTA ADM. JAKARTA UTARA,Pademangan,654.47,635,20.48
202401,KOTA ADM. JAKARTA UTARA,Penjaringan,2342.19,2317,74.74
202401,KOTA ADM. JAKARTA BARAT,Kembangan,1500.79,1439,46.42
202401,KOTA ADM. JAKARTA BARAT,Palmerah,995.95,931,30.03
202401,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,1937.21,1930.5,62.27
202401,KOTA ADM. JAKARTA BARAT,Tambora,1360.99,1312.5,42.34
202401,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,1263.71,1044.5,33.69
202401,KOTA ADM. JAKARTA BARAT,Tamansari,745.61,717,23.13
202401,KOTA ADM. JAKARTA BARAT,Kalideres,1466.51,1220,39.35
202401,KOTA ADM. JAKARTA BARAT,Cengkareng,1721.03,1489,48.03
202401,KOTA ADM. JAKARTA SELATAN,Jagakarsa,4523.81,4445,143.39
202401,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,594.55,573,18.48
202401,KOTA ADM. JAKARTA SELATAN,Pancoran,396.23,347.5,11.21
202401,KOTA ADM. JAKARTA SELATAN,Tebet,658.15,606,19.55
202401,KOTA ADM. JAKARTA SELATAN,Setiabudi,1011.75,641.6,20.7
202401,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,645.32,606,19.55
202401,KOTA ADM. JAKARTA SELATAN,Cilandak,966.25,870,28.06
202401,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,692.4,688.6,22.21
202401,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,642.42,636,20.52
202401,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,582.32,576,18.58
202401,KOTA ADM. JAKARTA TIMUR,Ciracas,461.97,394,12.71
202401,KOTA ADM. JAKARTA TIMUR,Cipayung,321.72,244,7.87
202401,KOTA ADM. JAKARTA TIMUR,Makasar,596.92,516,16.65
202401,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,910.29,900,29.03
202401,KOTA ADM. JAKARTA TIMUR,Kramat Jati,738.29,728,23.48
202401,KOTA ADM. JAKARTA TIMUR,Jatinegara,740.28,602,19.42
202401,KOTA ADM. JAKARTA TIMUR,Matraman,473.09,467,15.06
202401,KOTA ADM. JAKARTA TIMUR,Duren Sawit,1294.44,510,16.45
202401,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,878.51,870,28.06
202401,KOTA ADM. JAKARTA TIMUR,Cakung,2356.91,1958,63.16
202402,KOTA ADM. JAKARTA PUSAT,Tanah Abang,511.09,439,15.14
202402,KOTA ADM. JAKARTA PUSAT,Kemayoran,662.43,661,22.79
202402,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,384.86,384,13.24
202402,KOTA ADM. JAKARTA PUSAT,Johar Baru,555.28,554,19.1
